id,base_url,url,views,favorites,is_traditional,is_digital,Average_Hue,Average_Saturation,Average_Value,Average_Hue_Roughness,Average_Saturation_Roughness,Average_Value_Roughness,HUE_PALETTE_60,HUE_PALETTE_120,HUE_PALETTE_180,HUE_PALETTE_240,HUE_PALETTE_300,HUE_PALETTE_360,SAT_PALETTE_42,SAT_PALETTE_84,SAT_PALETTE_126,SAT_PALETTE_168,SAT_PALETTE_210,SAT_PALETTE_252,VAL_PALETTE_42,VAL_PALETTE_84,VAL_PALETTE_126,VAL_PALETTE_168,VAL_PALETTE_210,VAL_PALETTE_252,num_unique_hues,num_unique_sat,num_unique_vals,Value_Contrast,Color_Contrast,is_frontal_face,is_profile_face,face_size,face_x_20,face_x_40,face_x_60,face_x_80,face_x_100,face_y_20,face_y_40,face_y_60,face_y_80,face_y_100,eye_size,number_of_visible_eyes,eye_x_in_img_20,eye_x_in_img_40,eye_x_in_img_60,eye_x_in_img_80,eye_x_in_img_100,eye_y_in_img_20,eye_y_in_img_40,eye_y_in_img_60,eye_y_in_img_80,eye_y_in_img_100
31,http://porno-pink.deviantart.com/art/Weekly-Challenge-17-Knightcommander-Ophelia-611092662,http://pre01.deviantart.net/dee1/th/pre/i/2016/146/4/c/weekly_challenge__17_knightcommander_ophelia_by_porno_pink-da3tu46.jpg,15,6,1,0,19.2800337235,37.247662435,217.519412891,62.8626653574,90.7007497288,112.755606684,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5,187.997467041,26.2434082031,1,0,0.0551634075225,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,http://yuriericcoartwork.deviantart.com/art/Look-Me-611222541,http://img15.deviantart.net/5698/i/2016/146/c/1/look_me_by_yuriericcoartwork-da3wmbx.jpg,12,6,1,0,77.0608172228,7.86905786547,135.613481252,49.6851138504,60.5231939405,107.613325712,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,3,1,4,129.70010376,178.55380249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,http://bladamerry.deviantart.com/art/Michael-Winslow-611211048,http://orig03.deviantart.net/baa4/f/2016/146/d/c/michael_winslow_logo_by_bladamerry-da3wdgo.jpg,14,6,1,0,68.00873975,9.93577007464,96.9110049698,50.0952279044,66.9124018681,113.582308897,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,4,1,6,206.173339844,297.739074707,1,0,0.14820240617,0,1,0,0,0,0,0,1,0,0,0.0690848020737,1,0,1,0,0,0,0,1,0,0,0
34,http://bolorny.deviantart.com/art/before-bedtime-sketch-611215056,http://pre12.deviantart.net/71ce/th/pre/f/2016/146/d/7/before_bedtime_sketch_by_bolorny-da3wgk0.jpg,56,6,1,0,64.0980753763,36.4601231298,193.607997925,119.958389991,123.382226024,118.820280787,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,4,1,5,165.084716797,179.365646362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,http://andreartstudio.deviantart.com/art/BEAUTY-WONDER-611125431,http://orig01.deviantart.net/5785/f/2016/146/1/f/beauty_wonder_by_andreartstudio-da3ujef.jpg,23,5,1,0,18.1247460484,88.5767547776,145.8669182,47.0846764272,114.56762538,122.310036574,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5,171.800720215,16.3080749512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,http://sindisj.deviantart.com/art/Michael-Jordan-611157308,http://pre09.deviantart.net/77af/th/pre/f/2016/146/9/6/untitled_by_sindisj-da3v7zw.jpg,12,6,1,0,0.0,0.0,146.891677802,0.0,0.0,118.561730436,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,6,186.740936279,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,http://derekjones.deviantart.com/art/dark-ages-611105237,http://pre14.deviantart.net/1aeb/th/pre/f/2016/146/4/4/dark_ages_by_derekjones-da3u3th.jpg,318,92,1,0,34.4618416015,81.2963771978,139.348853909,54.8276175264,112.035771869,118.372451376,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,3,1,4,102.178733826,171.367843628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,http://viktoriatasko.deviantart.com/art/Tobi-611166135,http://pre15.deviantart.net/f43f/th/pre/i/2016/146/e/a/tobi_by_viktoriatasko-da3vet3.jpg,18,5,1,0,12.7438575023,121.4210606,110.860557764,21.8118874759,108.508083063,113.090741242,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,5,166.938827515,13.0459184647,1,0,0.182581419296,0,0,1,0,0,0,0,1,0,0,0.0259193141635,2,0,0,1,0,0,0,0,1,0,0
39,http://zzsnowwhitequeenzz.deviantart.com/art/Portrait-5-611155487,http://pre10.deviantart.net/80c9/th/pre/i/2016/146/4/9/portrait_5_by_zzsnowwhitequeenzz-da3v6lb.jpg,12,5,1,0,28.9079376994,174.726665416,164.537673109,49.2702795473,90.0025781235,91.0202216084,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,2,1,6,203.965301514,359.209381104,1,0,0.152375054732,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,http://abraun.deviantart.com/art/Stefania-drawing-611195105,http://pre03.deviantart.net/97d3/th/pre/i/2016/146/b/0/stefania_drawing_by_abraun-da3w15t.jpg,20,5,1,0,16.4257897334,23.4734855981,193.243737115,16.6589830542,50.3769802651,112.753726009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,4,108.352058411,6.26342582703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
